Latitude,Longitude,name,.geo
16.76713112180516,82.89304656042763,Point_5001,"{""type"":""Point"",""coordinates"":[82.89304656042763,16.76713112180516]}"
31.805414224806707,95.84604136193897,Point_5002,"{""type"":""Point"",""coordinates"":[95.84604136193897,31.805414224806707]}"
15.013030849791807,76.72450995872846,Point_5003,"{""type"":""Point"",""coordinates"":[76.72450995872846,15.013030849791807]}"
34.17736082758388,87.1557247304941,Point_5004,"{""type"":""Point"",""coordinates"":[87.1557247304941,34.17736082758388]}"
22.48383990075681,94.93848924466815,Point_5005,"{""type"":""Point"",""coordinates"":[94.93848924466815,22.48383990075681]}"
24.28622953098092,86.16641304433816,Point_5006,"{""type"":""Point"",""coordinates"":[86.16641304433816,24.28622953098092]}"
11.367869969483266,68.546477021197,Point_5007,"{""type"":""Point"",""coordinates"":[68.546477021197,11.367869969483266]}"
34.38526003889604,95.10974352621815,Point_5008,"{""type"":""Point"",""coordinates"":[95.10974352621815,34.38526003889604]}"
24.341289393413973,73.38362249407278,Point_5009,"{""type"":""Point"",""coordinates"":[73.38362249407278,24.341289393413973]}"
14.667126013677937,84.54346812356303,Point_5010,"{""type"":""Point"",""coordinates"":[84.54346812356303,14.667126013677937]}"
36.697526002205656,80.77395220726206,Point_5011,"{""type"":""Point"",""coordinates"":[80.77395220726206,36.697526002205656]}"
11.833199832319842,71.20572340840687,Point_5012,"{""type"":""Point"",""coordinates"":[71.20572340840687,11.833199832319842]}"
34.9854802854291,88.58427458123116,Point_5013,"{""type"":""Point"",""coordinates"":[88.58427458123116,34.9854802854291]}"
34.271473961321504,77.68991516219559,Point_5014,"{""type"":""Point"",""coordinates"":[77.68991516219559,34.271473961321504]}"
12.477217053848431,95.26453581271262,Point_5015,"{""type"":""Point"",""coordinates"":[95.26453581271262,12.477217053848431]}"
21.45360909096563,74.00575406844528,Point_5016,"{""type"":""Point"",""coordinates"":[74.00575406844528,21.45360909096563]}"
13.881681740018648,72.52154247384038,Point_5017,"{""type"":""Point"",""coordinates"":[72.52154247384038,13.881681740018648]}"
30.45687683723412,88.27259127821623,Point_5018,"{""type"":""Point"",""coordinates"":[88.27259127821623,30.45687683723412]}"
25.959043203340105,82.62968746562848,Point_5019,"{""type"":""Point"",""coordinates"":[82.62968746562848,25.959043203340105]}"
